price,vehicleType,gearbox,powerPS,kilometer,fuelType,notRepairedDamage
6900,cabrio,automatic,231,150000,lpg,no
18990,kombi,automatic,165,30000,diesel,no
40900,limousine,automatic,177,50000,diesel,no
5400,kombi,manual,140,150000,diesel,no
7999,limousine,manual,241,150000,gas,no
26980,limousine,automatic,280,5000,gas,no
10400,bus,manual,122,90000,gas,no
9999,limousine,automatic,224,150000,diesel,no
5500,wagon,manual,68,40000,gas,no
11000,limousine,manual,150,150000,diesel,no
36490,bus,automatic,179,60000,diesel,no
14900,limousine,manual,177,125000,diesel,no
6890,kombi,manual,102,90000,gas,no
5490,limousine,manual,105,125000,diesel,no
7840,cabrio,manual,224,125000,gas,no
11500,coupe,manual,160,90000,gas,no
6200,limousine,manual,75,100000,gas,no
9499,kombi,manual,116,125000,gas,no
6200,coupe,manual,90,60000,gas,no
5300,wagon,manual,69,90000,gas,no
19900,limousine,manual,122,10000,gas,no
13900,coupe,automatic,272,125000,gas,no
6300,coupe,automatic,105,60000,gas,yes
7500,kombi,automatic,380,150000,gas,no
5999,suv,manual,141,125000,gas,no
9350,limousine,automatic,204,90000,diesel,no
15000,wagon,manual,143,125000,diesel,no
5500,limousine,automatic,163,125000,gas,no
8200,bus,manual,120,60000,gas,no
5600,limousine,manual,122,70000,gas,no
19500,limousine,automatic,143,125000,diesel,no
11799,kombi,manual,125,100000,gas,no
12500,limousine,automatic,286,150000,diesel,no
13900,cabrio,manual,231,150000,gas,no
9500,limousine,manual,150,150000,gas,no
13500,kombi,manual,143,50000,gas,no
11990,wagon,manual,75,30000,gas,no
8900,suv,automatic,163,150000,diesel,no
8300,bus,manual,130,60000,gas,no
7999,bus,manual,109,150000,diesel,no
7499,bus,manual,83,150000,diesel,no
22800,limousine,manual,150,10000,gas,no
5990,limousine,manual,129,150000,gas,no
27250,kombi,automatic,184,80000,diesel,no
12000,limousine,automatic,231,150000,diesel,no
9500,cabrio,manual,150,125000,gas,no
5900,wagon,manual,80,60000,gas,no
5990,wagon,manual,133,90000,gas,no
9500,coupe,manual,185,80000,gas,no
13900,bus,automatic,150,150000,cng,no
19990,suv,automatic,349,125000,lpg,no
5700,kombi,automatic,163,150000,gas,no
21500,kombi,automatic,231,100000,diesel,no
13200,wagon,manual,90,30000,gas,no
7490,kombi,manual,110,150000,diesel,no
15000,suv,automatic,140,70000,diesel,no
28500,suv,automatic,241,150000,diesel,no
24000,cabrio,manual,184,50000,gas,no
9950,kombi,manual,190,150000,diesel,no
45000,cabrio,automatic,313,70000,diesel,no
15999,suv,automatic,310,150000,gas,no
5350,kombi,automatic,224,150000,diesel,no
14000,limousine,manual,150,70000,cng,no
10000,bus,automatic,150,125000,diesel,no
34800,suv,automatic,245,100000,diesel,no
9500,kombi,manual,163,150000,diesel,no
6050,bus,automatic,150,150000,diesel,no
5190,kombi,manual,105,150000,diesel,no
13500,limousine,automatic,122,60000,gas,no
11850,limousine,manual,156,80000,gas,no
14227,bus,manual,105,70000,diesel,no
13990,suv,manual,152,125000,diesel,no
8190,limousine,manual,110,150000,diesel,no
6999,limousine,manual,105,150000,diesel,no
5000,cabrio,automatic,82,150000,gas,no
5500,bus,automatic,122,150000,diesel,no
10900,coupe,automatic,163,125000,gas,no
15400,cabrio,manual,163,70000,gas,no
16500,coupe,automatic,218,60000,gas,no
26500,kombi,automatic,231,60000,diesel,no
5199,kombi,automatic,131,150000,diesel,no
22900,limousine,manual,184,100000,diesel,no
12200,suv,automatic,286,100000,diesel,no
9499,wagon,manual,75,50000,gas,no
23990,coupe,manual,156,50000,gas,no
6100,bus,manual,136,150000,diesel,no
22450,kombi,manual,143,50000,diesel,no
20000,kombi,manual,170,60000,diesel,no
5350,kombi,manual,94,125000,cng,no
6500,wagon,automatic,150,80000,gas,no
9850,kombi,automatic,170,150000,diesel,no
13750,kombi,manual,86,20000,gas,no
8450,wagon,manual,86,70000,lpg,no
13500,kombi,manual,140,150000,diesel,no
18500,wagon,manual,143,50000,diesel,no
11900,coupe,automatic,235,125000,gas,no
22500,limousine,automatic,177,125000,diesel,no
6199,wagon,manual,116,100000,gas,no
5550,wagon,manual,68,60000,gas,no
30800,coupe,manual,306,60000,gas,no
5600,bus,manual,102,150000,diesel,no
6500,limousine,automatic,218,150000,diesel,no
6000,limousine,manual,129,150000,gas,no
6100,limousine,manual,200,125000,gas,no
12500,suv,manual,254,20000,gas,no
9890,kombi,manual,105,40000,gas,no
23000,suv,automatic,170,50000,diesel,no
15999,limousine,manual,197,150000,diesel,no
12400,limousine,manual,204,150000,diesel,no
8000,limousine,manual,200,150000,gas,no
17990,kombi,automatic,231,150000,diesel,no
8900,kombi,manual,150,60000,gas,no
23999,limousine,manual,325,60000,gas,no
12900,suv,manual,110,125000,diesel,no
7900,kombi,automatic,204,150000,diesel,no
9950,kombi,manual,105,125000,diesel,no
6850,kombi,manual,105,150000,diesel,yes
10498,limousine,manual,105,125000,diesel,no
5000,bus,manual,140,150000,gas,no
7200,bus,automatic,140,60000,diesel,no
5490,wagon,manual,60,90000,gas,no
24987,cabrio,manual,295,100000,gas,no
10500,kombi,manual,143,125000,diesel,no
6700,limousine,manual,192,100000,gas,no
9500,kombi,automatic,170,125000,diesel,no
10500,suv,manual,110,125000,diesel,no
7994,kombi,automatic,200,90000,gas,no
5500,cabrio,manual,116,125000,gas,no
11500,coupe,manual,174,90000,gas,no
17599,coupe,automatic,143,150000,diesel,no
28300,cabrio,manual,184,20000,gas,no
5499,wagon,manual,75,125000,gas,no
5500,wagon,manual,80,125000,gas,no
7950,kombi,manual,140,150000,diesel,no
6900,cabrio,automatic,61,30000,gas,no
25990,limousine,manual,184,30000,diesel,no
8900,wagon,manual,87,40000,gas,no
8100,suv,automatic,170,150000,diesel,no
6999,kombi,automatic,218,150000,diesel,no
7400,limousine,manual,129,125000,gas,no
5490,cabrio,manual,109,60000,gas,no
18490,suv,manual,122,20000,gas,no
38000,kombi,automatic,340,40000,gas,no
7950,wagon,manual,82,40000,gas,no
11490,bus,manual,105,30000,gas,no
6500,bus,manual,116,100000,gas,no
5999,limousine,manual,136,100000,gas,no
6500,limousine,manual,193,150000,gas,no
7990,limousine,automatic,306,150000,lpg,no
29800,kombi,automatic,299,125000,diesel,no
10490,coupe,manual,160,150000,gas,no
11200,kombi,automatic,160,150000,diesel,no
7350,kombi,manual,163,150000,gas,no
8700,kombi,manual,105,100000,gas,no
7500,suv,automatic,150,150000,diesel,no
9500,kombi,manual,140,150000,diesel,no
29000,coupe,automatic,405,20000,gas,no
15100,kombi,manual,143,60000,gas,no
5999,wagon,manual,68,60000,gas,no
16500,cabrio,automatic,122,40000,gas,no
16000,limousine,manual,140,70000,diesel,no
9000,limousine,manual,260,125000,gas,no
15990,kombi,manual,200,100000,gas,yes
9500,bus,manual,175,150000,diesel,no
13800,coupe,automatic,190,150000,diesel,yes
9499,bus,manual,174,150000,diesel,no
13990,cabrio,manual,140,70000,diesel,no
18200,limousine,manual,220,60000,gas,no
9950,kombi,manual,170,150000,diesel,no
12200,bus,manual,86,30000,gas,no
9990,wagon,manual,86,50000,gas,no
5399,bus,manual,105,150000,diesel,no
9499,kombi,manual,280,150000,gas,no
5499,kombi,automatic,250,150000,gas,no
5500,wagon,manual,101,70000,gas,no
10450,limousine,manual,140,80000,diesel,no
14390,kombi,manual,143,90000,diesel,no
5111,bus,manual,151,150000,diesel,no
8000,bus,manual,101,70000,diesel,no
15600,limousine,automatic,190,150000,diesel,no
23000,cabrio,manual,184,20000,gas,no
42800,suv,automatic,184,30000,diesel,no
10000,coupe,automatic,200,150000,gas,no
41000,limousine,automatic,184,5000,diesel,no
18490,suv,automatic,405,150000,gas,no
15500,limousine,manual,105,60000,diesel,no
5500,cabrio,manual,140,150000,gas,no
11900,bus,manual,95,150000,diesel,no
24500,kombi,manual,184,40000,gas,no
11000,limousine,automatic,204,90000,diesel,no
6700,limousine,manual,129,150000,diesel,no
5800,limousine,automatic,220,150000,gas,no
5300,limousine,manual,170,150000,gas,no
5000,wagon,manual,69,60000,gas,no
8000,kombi,automatic,190,150000,diesel,no
9999,limousine,manual,200,125000,gas,no
24150,suv,manual,140,60000,diesel,no
12500,limousine,manual,143,125000,gas,no
6150,limousine,automatic,143,90000,gas,no
8499,kombi,manual,170,150000,gas,no
15600,coupe,manual,177,150000,diesel,no
34900,suv,manual,103,150000,diesel,no
9450,cabrio,manual,116,125000,gas,no
5999,cabrio,manual,143,150000,gas,no
11400,kombi,manual,160,70000,gas,no
10500,cabrio,manual,160,90000,gas,no
14500,suv,manual,110,50000,diesel,no
14990,limousine,automatic,211,150000,gas,no
5600,limousine,automatic,188,100000,gas,no
5990,kombi,manual,150,150000,gas,no
9990,kombi,manual,140,80000,diesel,no
6599,bus,automatic,181,150000,diesel,no
6500,limousine,manual,140,150000,diesel,no
6790,limousine,automatic,177,150000,gas,no
11500,bus,manual,116,125000,diesel,no
20499,limousine,automatic,258,125000,gas,no
10800,coupe,manual,114,20000,hybrid,no
5099,kombi,manual,158,150000,diesel,no
6700,kombi,manual,105,150000,diesel,no
11200,limousine,automatic,95,50000,gas,no
8400,kombi,manual,140,150000,diesel,no
9000,wagon,manual,83,50000,lpg,no
5200,wagon,manual,116,150000,gas,no
18900,suv,automatic,177,125000,diesel,no
9000,cabrio,automatic,163,125000,gas,no
6490,wagon,manual,75,50000,gas,no
5400,kombi,manual,102,150000,gas,no
16999,suv,automatic,306,150000,gas,no
12000,kombi,manual,190,150000,diesel,no
11200,coupe,manual,160,60000,gas,no
9800,coupe,manual,160,150000,gas,no
7500,limousine,automatic,105,150000,diesel,no
15990,wagon,manual,101,20000,gas,no
13490,kombi,manual,105,60000,diesel,no
18990,bus,manual,122,40000,gas,no
18950,suv,manual,163,70000,diesel,no
5899,limousine,manual,140,150000,diesel,no
13800,kombi,automatic,143,100000,diesel,no
9000,limousine,manual,150,100000,gas,no
11500,coupe,manual,179,100000,gas,no
24499,limousine,automatic,272,150000,gas,no
9990,bus,manual,105,125000,diesel,no
6500,kombi,manual,150,150000,gas,no
12900,bus,automatic,190,150000,diesel,no
8600,coupe,automatic,143,5000,gas,no
5000,kombi,automatic,140,150000,diesel,yes
16999,coupe,manual,239,150000,diesel,no
9400,limousine,automatic,334,150000,gas,no
6490,limousine,manual,163,150000,diesel,no
11799,kombi,automatic,143,5000,diesel,no
13990,kombi,manual,143,150000,diesel,no
17500,bus,manual,140,125000,diesel,no
9390,cabrio,automatic,170,125000,gas,no
14500,other,automatic,157,150000,gas,no
13600,kombi,automatic,204,150000,diesel,no
21900,coupe,automatic,258,150000,gas,no
27900,limousine,automatic,250,80000,diesel,no
12000,cabrio,automatic,100,20000,gas,yes
14000,limousine,automatic,170,100000,diesel,no
26500,coupe,manual,200,5000,gas,no
29999,suv,manual,177,30000,diesel,no
24000,kombi,automatic,136,90000,diesel,no
5299,limousine,automatic,218,150000,diesel,no
5600,kombi,manual,105,150000,diesel,no
13800,limousine,automatic,147,40000,gas,no
7500,limousine,automatic,150,150000,diesel,no
15900,cabrio,manual,218,40000,gas,no
46900,suv,automatic,245,30000,diesel,no
13100,kombi,manual,170,150000,diesel,no
5999,kombi,automatic,131,150000,gas,no
33900,suv,manual,150,30000,diesel,no
9500,limousine,manual,170,150000,diesel,no
9845,bus,automatic,105,50000,gas,no
7900,kombi,automatic,185,150000,diesel,no
9000,kombi,manual,140,150000,diesel,yes
8500,coupe,automatic,367,150000,gas,no
10200,limousine,manual,179,60000,gas,no
7499,coupe,manual,220,150000,gas,no
9199,suv,automatic,152,150000,diesel,no
5499,bus,manual,101,60000,gas,no
13500,kombi,manual,160,100000,diesel,no
6990,wagon,manual,140,150000,diesel,no
5999,wagon,manual,116,90000,gas,no
11000,suv,automatic,150,100000,diesel,no
7950,limousine,manual,150,125000,gas,no
6990,wagon,manual,82,80000,gas,no
10900,bus,manual,105,150000,diesel,no
16950,limousine,manual,136,125000,diesel,no
11400,kombi,manual,120,125000,diesel,no
79900,coupe,manual,200,100000,gas,no
6990,wagon,manual,80,50000,diesel,no
6900,bus,manual,102,150000,diesel,no
45900,coupe,manual,355,80000,gas,no
5999,wagon,manual,69,40000,gas,no
8900,suv,automatic,260,80000,lpg,no
17900,bus,manual,136,70000,diesel,no
11000,kombi,automatic,225,150000,gas,no
5500,kombi,automatic,211,150000,gas,yes
30900,bus,automatic,150,5000,diesel,no
16200,kombi,automatic,190,125000,gas,no
15900,coupe,manual,170,125000,gas,no
5300,limousine,automatic,230,150000,gas,no
6870,limousine,manual,116,125000,gas,no
15500,suv,automatic,224,150000,diesel,no
8490,limousine,manual,163,150000,diesel,no
14950,bus,manual,140,150000,diesel,no
10500,kombi,manual,177,125000,diesel,no
15000,wagon,manual,110,20000,diesel,no
5450,cabrio,manual,116,125000,gas,no
9499,cabrio,manual,163,150000,gas,no
20000,limousine,automatic,450,150000,gas,no
8990,kombi,manual,122,80000,diesel,no
7950,bus,manual,100,60000,gas,no
28900,coupe,automatic,320,125000,gas,no
18600,limousine,manual,110,20000,gas,no
19999,suv,automatic,190,80000,diesel,no
16500,kombi,automatic,143,125000,diesel,no
57500,coupe,automatic,457,30000,gas,no
5800,bus,manual,110,70000,diesel,no
7990,wagon,manual,120,50000,gas,no
5750,wagon,manual,116,150000,gas,no
16900,cabrio,automatic,231,80000,gas,no
6450,limousine,manual,143,150000,diesel,no
22900,suv,manual,218,50000,gas,no
12499,cabrio,manual,231,125000,gas,no
7960,cabrio,manual,140,70000,gas,no
6250,coupe,manual,116,125000,lpg,no
7790,kombi,manual,140,150000,diesel,no
11500,wagon,automatic,150,70000,gas,no
9499,cabrio,manual,163,150000,gas,no
26500,cabrio,manual,150,10000,gas,no
8999,bus,manual,95,150000,diesel,no
21500,suv,automatic,426,80000,gas,no
5500,bus,manual,105,70000,gas,no
23990,limousine,automatic,271,100000,gas,no
8000,limousine,manual,120,80000,gas,no
18900,cabrio,manual,150,60000,gas,no
12500,bus,manual,102,70000,diesel,no
6990,wagon,manual,120,150000,diesel,no
6450,kombi,manual,140,125000,gas,no
5999,kombi,manual,231,150000,lpg,no
16950,kombi,manual,105,60000,diesel,no
6500,wagon,manual,155,125000,gas,no
5500,kombi,manual,131,150000,diesel,no
8499,limousine,manual,265,150000,gas,no
27150,coupe,automatic,239,150000,diesel,no
8600,limousine,manual,110,150000,diesel,no
36999,limousine,automatic,299,90000,diesel,no
10800,kombi,automatic,156,30000,gas,no
5500,limousine,automatic,150,150000,diesel,no
5200,cabrio,manual,120,150000,gas,no
5470,wagon,manual,60,100000,gas,no
15500,limousine,manual,190,100000,gas,no
69850,cabrio,manual,385,30000,gas,no
11600,kombi,manual,163,150000,diesel,no
54900,kombi,automatic,367,20000,gas,no
5999,limousine,manual,90,100000,diesel,no
7500,kombi,automatic,177,150000,diesel,no
5300,limousine,manual,163,150000,gas,no
8999,limousine,automatic,224,150000,diesel,no
13999,suv,automatic,156,125000,diesel,no
24000,limousine,automatic,170,60000,diesel,no
7900,kombi,manual,170,150000,diesel,no
18900,limousine,manual,211,20000,gas,no
6200,kombi,manual,105,150000,diesel,no
6800,limousine,manual,177,150000,diesel,no
6100,coupe,manual,110,125000,gas,no
7700,wagon,manual,105,150000,diesel,no
20999,limousine,manual,235,60000,gas,no
15500,cabrio,automatic,163,60000,gas,no
18499,kombi,automatic,231,150000,diesel,no
25900,limousine,automatic,245,150000,diesel,no
8000,kombi,manual,143,150000,diesel,no
6900,bus,manual,105,150000,diesel,no
5500,limousine,manual,180,125000,gas,no
6299,limousine,manual,109,150000,diesel,no
19999,coupe,manual,224,80000,gas,no
11500,limousine,manual,200,150000,gas,no
16900,limousine,automatic,272,150000,gas,no
22400,bus,manual,150,50000,gas,no
7550,wagon,manual,84,30000,gas,no
19900,coupe,automatic,224,125000,diesel,no
9500,coupe,automatic,170,125000,gas,no
13999,kombi,automatic,160,100000,diesel,no
18990,kombi,manual,105,20000,diesel,no
15600,limousine,manual,286,150000,gas,no
8000,limousine,manual,90,30000,gas,no
17000,limousine,automatic,143,50000,gas,no
14700,suv,manual,135,60000,gas,no
9900,suv,manual,90,100000,diesel,no
12500,limousine,manual,200,70000,gas,no
7500,bus,manual,140,150000,diesel,no
10000,kombi,manual,140,125000,diesel,no
14900,kombi,manual,140,90000,diesel,no
27300,limousine,manual,177,30000,diesel,no
5399,wagon,manual,68,125000,diesel,no
13299,wagon,automatic,200,40000,gas,no
19400,kombi,manual,150,70000,diesel,no
69997,cabrio,automatic,480,90000,gas,no
7500,limousine,manual,101,100000,gas,no
7500,kombi,automatic,204,150000,diesel,no
13200,kombi,manual,184,150000,diesel,no
7700,bus,manual,75,40000,gas,no
7700,kombi,manual,140,125000,gas,no
9500,limousine,manual,116,150000,diesel,no
10999,wagon,manual,90,20000,lpg,no
7500,coupe,manual,200,150000,diesel,no
8699,cabrio,manual,136,30000,diesel,no
20900,limousine,manual,143,80000,diesel,no
34900,limousine,automatic,306,125000,diesel,no
7450,cabrio,automatic,163,150000,gas,no
18790,cabrio,manual,122,50000,gas,no
13500,coupe,manual,143,125000,diesel,no
8990,wagon,manual,86,125000,gas,no
6950,limousine,manual,150,150000,diesel,no
7300,limousine,manual,101,50000,gas,no
16990,wagon,manual,86,10000,gas,no
16999,kombi,automatic,204,60000,diesel,no
8200,kombi,automatic,177,150000,diesel,no
16800,bus,automatic,204,150000,diesel,no
6900,limousine,manual,80,150000,gas,no
13900,wagon,manual,120,70000,gas,no
13000,limousine,automatic,231,150000,gas,no
20800,kombi,manual,381,150000,gas,no
6790,limousine,manual,116,150000,diesel,no
10300,bus,automatic,136,60000,diesel,no
9200,suv,automatic,450,150000,gas,no
6500,bus,automatic,150,150000,diesel,no
6200,kombi,manual,105,150000,diesel,no
15000,bus,manual,110,80000,diesel,no
8500,limousine,automatic,170,125000,diesel,no
9800,suv,manual,129,80000,diesel,no
7950,limousine,manual,140,150000,diesel,no
18500,limousine,automatic,170,150000,diesel,no
7900,wagon,manual,90,50000,gas,no
7490,wagon,automatic,71,30000,gas,no
8400,bus,automatic,140,150000,diesel,no
10690,limousine,manual,105,70000,gas,no
9500,wagon,manual,75,70000,gas,no
15999,wagon,manual,211,125000,gas,no
7000,limousine,manual,110,125000,diesel,no
5990,wagon,manual,120,125000,gas,no
11900,limousine,manual,143,70000,diesel,no
20700,bus,manual,109,30000,diesel,no
8400,wagon,manual,201,70000,gas,no
18990,limousine,automatic,204,150000,diesel,no
